"COD_COL";"LONGITUD||','||LATITUD"
"225290001317";"-74.365811,4.331412"
"225290001074";"-74.35204797,4.333261372"
"125290000251";"-74.36362882,4.336721787"
"225290000485";"-74.401774406,4.312155247"
"125290000146";"-74.364914724,4.329242742"
"225290000396";"-74.363437,4.326449"
"225290000850";"-74.358331,4.387886"
"125290000626";"-74.36602008,4.326169702"
"225290000540";"-74.363344,4.393727"
"225290001759";"-74.333331,4.387887"
"225290000370";"-74.394672,4.331864"
"225290001473";"-74.359615282,4.346726419"
"125290000103";"-74.36323115,4.338082518"
"225290000515";"-74.345942,4.376108"
"225290000311";"-74.363086,4.344084"
"225290000426";"-74.362034798,4.335876703"
"225290000337";"-74.363,4.343966"
"225290000914";"-74.39413155,4.327306399"
"225290001741";"-74.363258,4.344159"
"225290000604";"-74.363637,4.326365"
"225290000281";"-74.397609,4.370358"
"225290000272";"-74.363537,4.326535"
"125290000570";"-74.36479165,4.337582349"
"225290000680";"-74.364811,4.331864"
"225290000736";"-74.363279,4.343913"
"125290000839";"-74.362131717,4.3352972"
"225290000507";"-74.363737,4.326375"
"125290000936";"-74.358791467,4.347299712"
"125290001355";"-74.36161738,4.326342636"
"225290001643";"-74.451492,4.295064"
"225290000353";"-74.363129,4.343795"
"125290002234";"-74.39971817,4.32684154"
"225290000477";"-74.363137,4.378358"
"125290000189";"-74.40379661,4.330856206"
"125290000201";"-74.36373615,4.346510808"
"125290000171";"-74.361150088,4.338789582"
"225290000469";"-74.384179,4.280602"
"125290000120";"-74.35945041,4.340796405"
"125290002246";"-74.39499665,4.331753825"
"425290000662";"-74.399299759,4.327240719"
"125290000111";"-74.365787866,4.344406114"
"225290001198";"-74.362915,4.344234"
"125290001118";"-74.358025529,4.353400164"
"225290000418";"-74.401774406,4.312155247"
"125290000863";"-74.36490153,4.337413607"
"225290000388";"-74.363279,4.34402"
"225290000451";"-74.377719,4.299803"
"125290000049";"-74.3635868,4.335391714"
"225290000345";"-74.364395,4.337765"
"225290001651";"-74.363637,4.282833"
"225290000795";"-74.326758,4.388255"
"125290001835";"-74.36844924,4.347030134"
"125290000219";"-74.35783693,4.348788829"
"225290001309";"-74.366455078,4.351154566"
"0";"-74.3791805,4.3459142"
